FID,name,modelobjec,x_coord,y_coord
74,Point 74,ConnCreek - 11500 - QPoint,-122.413943012999994,38.512140616099998
75,Point 75,ConnCreek - 12000 - HPoint,-122.410698088999993,38.508954647499998
76,Point 76,ConnCreek - 12500 - QPoint,-122.405738737999997,38.507901846999999
77,Point 77,ConnCreek - 13000 - HPoint,-122.400999562999999,38.507322778099997
78,Point 78,ConnCreek - 13370 - QPoint,-122.397120005999994,38.506073123299998
79,Point 79,ConnCreek - 13740 - HPoint,-122.393698732000004,38.504507323600002
80,Point 80,CONNCREEK-LOWER - 0 - HPoint,-122.373629672000007,38.481511107099998
81,Point 81,CONNCREEK-LOWER - 100 - StructurePoint,-122.374760269000006,38.481658608200000
82,Point 82,CONNCREEK-LOWER - 1000 - HPoint,-122.383910924000006,38.484913160100000
83,Point 83,CONNCREEK-LOWER - 1500 - QPoint,-122.388991204000007,38.486617115599998
84,Point 84,CONNCREEK-LOWER - 2000 - HPoint,-122.394363480999999,38.487788678699999
85,Point 85,CONNCREEK-LOWER - 2500 - QPoint,-122.399575303000006,38.487562823300003
86,Point 86,CONNCREEK-LOWER - 3000 - HPoint,-122.404931931999997,38.488075605699997
87,Point 87,CONNCREEK-LOWER - 3500 - QPoint,-122.404291581999999,38.484271678399999
88,Point 88,CONNCREEK-LOWER - 4000 - HPoint,-122.403316877999998,38.479959839099998
89,Point 89,CONNCREEK-LOWER - 4500 - QPoint,-122.400056129999996,38.476539141600000
90,Point 90,CONNCREEK-LOWER - 5000 - HPoint,-122.397541607999997,38.473257914100003
91,Point 91,CONNCREEK-LOWER - 5360 - QPoint,-122.396731626000005,38.470200846899999
92,Point 92,CONNCREEK-LOWER - 5720 - HPoint,-122.394360363000004,38.467553395400003
93,Point 93,CONNCREEK-LOWER - 6185 - QPoint,-122.391637477000003,38.463967071399999
94,Point 94,CONNCREEK-LOWER - 6650 - HPoint,-122.389234381999998,38.460228420400000
95,Point 95,CONNCREEK-LOWER - 7325 - QPoint,-122.386827850000003,38.454947020100001
96,Point 96,CONNCREEK-LOWER - 8000 - HPoint,-122.382689080999995,38.449841102500002
97,Point 97,CONNCREEK-LOWER - 8687.28076171875 - QPoint,-122.378225599000004,38.444761138200001
98,Point 98,CONNCREEK-LOWER - 9374.5615234375 - HPoint,-122.374898320000000,38.439345345400000
99,Point 99,CONNCREEK-LOWER - 9687.28076171875 - QPoint,-122.375695364999999,38.436600898800002
100,Point 100,CONNCREEK-LOWER - 10000 - HPoint,-122.375195770000005,38.433873403200003
101,Point 101,CONNCREEK-LOWER - 10377.133625688075 - QPoint,-122.372931600000001,38.430992392000000
102,Point 102,CONNCREEK-LOWER - 10754.26725137615 - HPoint,-122.371059525000007,38.428006530300003
103,Point 103,CONNCREEK-LOWER - 10827.133625688075 - QPoint,-122.370565959999993,38.427477238500003
104,Point 104,CONNCREEK-LOWER - 10900 - HPoint,-122.370066637999997,38.426951512599999
105,Point 105,CONNCREEK-LOWER - 11100 - QPoint,-122.368454197999995,38.425703682799998
106,Point 106,CONNCREEK-LOWER - 11300 - HPoint,-122.366261351999995,38.425211716600003
107,Point 107,CONNCREEK-LOWER - 11971 - QPoint,-122.358928524000007,38.423810940700001
108,Point 108,CONNCREEK-LOWER - 12642 - HPoint,-122.353267892000005,38.419864219499999
109,Point 109,GarnettCreek - 0 - HPoint,-122.572224864999995,38.635563483500000
110,Point 110,GarnettCreek - 500 - QPoint,-122.575820954999998,38.632309844900000
111,Point 111,GarnettCreek - 1000 - HPoint,-122.577158093999998,38.628254261700000
112,Point 112,GarnettCreek - 1484.4349975585938 - QPoint,-122.579360301999998,38.624563725500003
113,Point 113,GarnettCreek - 1968.8699951171875 - HPoint,-122.581982498000002,38.620830243900002
114,Point 114,GarnettCreek - 2484.4349975585938 - QPoint,-122.585572213000006,38.617479011900002
115,Point 115,GarnettCreek - 3000 - HPoint,-122.587035301000000,38.613082050400003
116,Point 116,GarnettCreek - 3396.6534423828125 - QPoint,-122.588036407000004,38.609692135700001
117,Point 117,GarnettCreek - 3793.306884765625 - HPoint,-122.589558542000006,38.606557677600001
118,Point 118,GarnettCreek - 4130.8919677734375 - QPoint,-122.589002883999996,38.603608712499998
119,Point 119,GarnettCreek - 4468.47705078125 - HPoint,-122.588477683999997,38.600797409800002
120,Point 120,GarnettCreek - 5464.238525390625 - QPoint,-122.591116841000002,38.594519733399999
121,Point 121,GarnettCreek - 6460 - HPoint,-122.592372186999995,38.585912683899998
122,Point 122,HopperCreek - 0 - HPoint,-122.392287994000000,38.393792677900002
123,Point 123,HopperCreek - 500 - QPoint,-122.395384183999994,38.397458323000002
124,Point 124,HopperCreek - 1000 - HPoint,-122.393593088000003,38.401227636800002
125,Point 125,HopperCreek - 1537.490478515625 - QPoint,-122.388791521000002,38.404111945799997
126,Point 126,HopperCreek - 2074.98095703125 - HPoint,-122.387331395999993,38.408583992899999
127,Point 127,HopperCreek - 3138.577392578125 - QPoint,-122.377559927999997,38.407295907399998
128,Point 128,HopperCreek - 4202.173828125 - HPoint,-122.367160881000004,38.404776055200003
129,Point 129,HopperCreek - 4607.73681640625 - QPoint,-122.362727393000000,38.405595476999999
130,Point 130,HopperCreek - 5013.2998046875 - HPoint,-122.359601173000001,38.404079130600003
131,Point 131,HopperCreek - 5843.9375 - QPoint,-122.356198900999999,38.397326447399998
132,Point 132,HopperCreek - 6674.5751953125 - HPoint,-122.349135970000006,38.394471744900002
133,Point 133,HopperCreek - 7505.931396484375 - QPoint,-122.345093817999995,38.389181958300000
134,Point 134,HopperCreek - 8337.28759765625 - HPoint,-122.345844037000006,38.383047321600003
135,Point 135,HopperCreek - 9168.643798828125 - QPoint,-122.337286110999997,38.380310170000001
136,Point 136,HopperCreek - 10000 - HPoint,-122.328069679999999,38.378738501500003
137,Point 137,HopperCreek - 10561.4619140625 - QPoint,-122.322665901999997,38.378500131599999
138,Point 138,HopperCreek - 11122.923828125 - HPoint,-122.317122592000004,38.377357177699999
139,Point 139,HopperCreek - 11698.9619140625 - QPoint,-122.312246787000007,38.376107769100003
140,Point 140,HopperCreek - 12275 - HPoint,-122.307377173999996,38.373239464199997
141,Point 141,HuichicaCreek - 0 - HPoint,-122.397782125000006,38.290802478000003
142,Point 142,HuichicaCreek - 500 - QPoint,-122.394847099000003,38.287233208600000
143,Point 143,HuichicaCreek - 1000 - HPoint,-122.395937979999999,38.283595977099999
144,Point 144,HuichicaCreek - 1322.5 - QPoint,-122.394023398000002,38.281289417899998
145,Point 145,HuichicaCreek - 1645 - HPoint,-122.391089761999993,38.279924676299999
146,Point 146,HuichicaCreek - 2055 - QPoint,-122.386657653000000,38.279048237900000
147,Point 147,HuichicaCreek - 2465 - HPoint,-122.382867519000001,38.277447189299998
148,Point 148,HuichicaCreek - 2917.5 - QPoint,-122.380451883000006,38.274651260799999
149,Point 149,HuichicaCreek - 3370 - HPoint,-122.376601445999995,38.273899216600000
150,Point 150,HuichicaCreek - 3771 - QPoint,-122.373721743000004,38.272161777299999
151,Point 151,HuichicaCreek - 4172 - HPoint,-122.377084937000006,38.269976004999997
152,Point 152,HuichicaCreek - 4573.5 - QPoint,-122.377930636000002,38.266516910900002
153,Point 153,HuichicaCreek - 4975 - HPoint,-122.379809984000005,38.263722684000001
154,Point 154,HuichicaCreek - 5455.5 - QPoint,-122.377828983000001,38.260252349700004
155,Point 155,HuichicaCreek - 5936 - HPoint,-122.373608703000002,38.258367760699997
156,Point 156,HuichicaCreek - 6383 - QPoint,-122.369552881999994,38.256172921199997
157,Point 157,HuichicaCreek - 6830 - HPoint,-122.364923566000002,38.254973068600002
158,Point 158,HuichicaCreek - 7416 - QPoint,-122.361334670999995,38.250807849799997
159,Point 159,HuichicaCreek - 8002 - HPoint,-122.360876524999995,38.245721258800003
160,Point 160,HuichicaCreek - 8608.5 - QPoint,-122.357281043000000,38.241279135500001
161,Point 161,HuichicaCreek - 9215 - HPoint,-122.355555541000001,38.236141281599998
162,Point 162,HuichicaCreek - 9687.5 - QPoint,-122.355082714000005,38.231913302999999
163,Point 163,HuichicaCreek - 10160 - HPoint,-122.355336547999997,38.227781965699997
164,Point 164,HuichicaCreek - 10430 - QPoint,-122.355011747999995,38.225491835600003
165,Point 165,HuichicaCreek - 10700 - HPoint,-122.353596705000001,38.223423132199997
166,Point 166,HuichicaCreek - 11121 - QPoint,-122.354734644999994,38.220088142599998
167,Point 167,HuichicaCreek - 11542 - HPoint,-122.357293873000003,38.217242900999999
168,Point 168,HuichicaCreek - 12337 - QPoint,-122.358020636000006,38.211907892100001
169,Point 169,HuichicaCreek - 13132 - HPoint,-122.356100208000001,38.206348624800000
170,Point 170,HuichicaCreek - 13579.5 - QPoint,-122.352975764000007,38.203578426800000
171,Point 171,HuichicaCreek - 14027 - HPoint,-122.350361622999998,38.200688200999998
172,Point 172,HuichicaCreekLower - 0 - HPoint,-122.350811653999997,38.199335517199998
173,Point 173,HuichicaCreekLower - 380 - QPoint,-122.350467480999995,38.195968524599998
174,Point 174,HuichicaCreekLower - 760 - HPoint,-122.350661579000004,38.192854256300002
175,Point 175,HuichicaCreekLower - 1130 - QPoint,-122.347829707000002,38.190422185700001
176,Point 176,HuichicaCreekLower - 1500 - HPoint,-122.343747262999997,38.189807544700002
177,Point 177,HuichicaCreekLower - 2250 - QPoint,-122.336095649000001,38.191504453199997
178,Point 178,HuichicaCreekLower - 3000 - HPoint,-122.328524164000001,38.192668468299999
179,Point 179,HuichicaCreekLower - 3500 - QPoint,-122.327395323000005,38.188587948799999
180,Point 180,HuichicaCreekLower - 4000 - HPoint,-122.323843599000000,38.185649793600000
181,Point 181,HuichicaCreekLower - 4839.5 - QPoint,-122.316960780000002,38.183947206699997
182,Point 182,HuichicaCreekLower - 5679 - HPoint,-122.309287846000004,38.179905570300001
183,Point 183,KimballCreek - 0 - HPoint,-122.620805102000006,38.648106176299997
184,Point 184,KimballCreek - 750 - QPoint,-122.615602706000004,38.643655440899998
185,Point 185,KimballCreek - 1500 - HPoint,-122.608319174000002,38.642187275700003
186,Point 186,KimballCreek - 2498 - QPoint,-122.609548943999997,38.634438216299998
187,Point 187,KimballCreek - 3496 - HPoint,-122.612246619000004,38.628061609299998
188,Point 188,KimballReservoir - 0 - HPoint,-122.613270130999993,38.626885023500002
189,Point 189,KimballReservoir - 118.5 - QPoint,-122.613260943000000,38.625817017000003
190,Point 190,KimballReservoir - 237 - HPoint,-122.613585756000006,38.624806773499998
191,Point 191,KimballReservoir - 377.5 - QPoint,-122.614274432000002,38.623661491900002
192,Point 192,KimballReservoir - 518 - HPoint,-122.614493506000002,38.622462779099997
193,Point 193,KimballReservoir - 593 - QPoint,-122.613860912999996,38.622003799200002
194,Point 194,KimballReservoir - 668 - HPoint,-122.613228339000003,38.621544815699998
195,Point 195,KimballReservoir - 700 - StructurePoint,-122.612958440000000,38.621348982699999
196,Point 196,KimballReservoir - 737 - HPoint,-122.612646376000001,38.621122552199999
197,Point 197,LakeHennessey - 0 - HPoint,-122.389105533999995,38.503171531900001
198,Point 198,LakeHennessey - 250 - QPoint,-122.386723086000003,38.501919428900003
199,Point 199,LakeHennessey - 500 - HPoint,-122.384358988000002,38.500648900999998
200,Point 200,LakeHennessey - 750 - QPoint,-122.382239127999995,38.499133115500001
201,Point 201,LakeHennessey - 1000 - HPoint,-122.380119358000002,38.497617290999997
202,Point 202,LakeHennessey - 1500 - QPoint,-122.375880089000006,38.494585516599997
203,Point 203,LakeHennessey - 2000 - HPoint,-122.371050921999995,38.492209591900000
204,Point 204,LakeHennessey - 2250 - QPoint,-122.368525968000000,38.491144337100003
205,Point 205,LakeHennessey - 2500 - HPoint,-122.366001088999994,38.490079036200001
206,Point 206,LakeHennessey - 3022.77001953125 - QPoint,-122.360523583000003,38.488292870300000
